# ----------------------------------------,,,
# Pages and screens: Page path and screen class,,,
# Account: Client 4,,,
# Property: natyasutraonline - GA4,,,
# ----------------------------------------,,,
# ,,,
# All Users,,,
# Start date: 20250101,,,
# End date: 20251231,,,
Page path and screen class,Views,Average engagement time per active user,Bounce rate
/picture-gallery/asamyuta-hasta-bharatanatyam/Alapadma-Hasta,1515,49.27497865072588,0.07817109144542773
/picture-gallery/asamyuta-hasta-bharatanatyam/Mrgasirsa-Hasta,1495,56.247252747252745,0.07378335949764521
/picture-gallery/asamyuta-hasta-bharatanatyam/Suci-Hasta,1483,57.14808510638298,0.060240963855421686
/picture-gallery/asamyuta-hasta-bharatanatyam/Candrakala-Hasta,1473,48.63392857142857,0.07433489827856025
/picture-gallery/asamyuta-hasta-bharatanatyam/Simhamukha-Hasta,1452,43.31159420289855,0.08196721311475409
/gita-govinda/epic/popularity,1442,24.937444933920705,0.019166666666666665
/mohiniyattam/neena-prasad/composition-aliveni-enthu-cheyvu,1427,31.854349951124146,0.2952755905511811
/gita-govinda/epic/radha-nayika-bheda,1412,55.75737704918033,0.27537511032656664
/music/classical-vocal/dr-leela-omchery/onappattukal-onam-songs-kerala,1408,33.640625,0.2778229082047116
/kuchipudi/sreelakshmy-govardhanan/composition-ekkadunnavu-naa-chakkani-swami,1403,27.48481973434535,0.11037891268533773
/guru-teacher-master-dancers-choreographers,1397,27.471973094170405,0.16471734892787523
/picture-gallery/asamyuta-hasta-bharatanatyam/Catura-Hasta,1393,50.00902527075812,0.045307443365695796
/picture-gallery/asamyuta-hasta-bharatanatyam/Sandamsa-Hasta,1366,41.03742802303263,0.06281833616298811
/dance,1365,22.821428571428573,0.09915014164305949
/odissi,1359,23.294534412955464,0.32196969696969696
/about-us,1343,37.00968992248062,0.14140558848433532
/picture-gallery/asamyuta-hasta-bharatanatyam/Padmakosa-Hasta,1338,49.69423791821561,0.06010016694490818
/picture-gallery/asamyuta-hasta-bharatanatyam/Bhramara-Hasta,1319,40.2480694980695,0.07063829787234042
/gita-govinda/epic/content-structure,1310,30.07487684729064,0.3153070577451879
/freeclass/bharatanatyam-anita-ratnam,1304,27.782117163412128,0.11232876712328767
/picture-gallery/asamyuta-hasta-bharatanatyam/Tamracuda-Hasta,1293,32.417773237997956,0.06558849955076371
/gita-govinda/epic/gods-writings-prabandh19/1,1276,29.113128491620113,0.07047872340425532
/picture-gallery/asamyuta-hasta-bharatanatyam/Mukula-Hasta,1262,36.20104166666667,0.06623134328358209
/gita-govinda/epic/love-story-india,1258,18.46153846153846,0.040892193308550186
/picture-gallery/asamyuta-hasta-bharatanatyam/Sarpasirsa-Hasta,1250,45.462376237623765,0.06193895870736086
/picture-gallery/kerala-folk-art-forms/adivasi-nritham/,1179,67.54660347551342,0.2892347600518807
/intermediate,1176,10.03841536614646,0.024471635150166853
/gita-govinda/pralaya-payodhi-jale-prabandh-1-pali-chandra-class-jaya-jagadeesha-hare,1170,27.679611650485437,0.14258188824662812
