page_url,page_type,traffic,bounce_rate,section_types,cta_presence
/music,content,1515,0.1668129938542581,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Alapadma-Hasta,content,1515,0.0781710914454277,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Mrgasirsa-Hasta,content,1495,0.0737833594976452,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Suci-Hasta,content,1483,0.0602409638554216,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Candrakala-Hasta,content,1473,0.0743348982785602,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Simhamukha-Hasta,content,1452,0.081967213114754,content;cta;footer,True
/gita-govinda/epic/popularity,content,1442,0.0191666666666666,content;cta;footer,True
/mohiniyattam/neena-prasad/composition-aliveni-enthu-cheyvu,content,1427,0.2952755905511811,content;cta;footer,True
/gita-govinda/epic/radha-nayika-bheda,content,1412,0.2753751103265666,content;cta;footer,True
/music/classical-vocal/dr-leela-omchery/onappattukal-onam-songs-kerala,,1408,0.2778229082047116,,False
/kuchipudi/sreelakshmy-govardhanan/composition-ekkadunnavu-naa-chakkani-swami,content,1403,0.1103789126853377,content;cta;footer,True
/guru-teacher-master-dancers-choreographers,content,1397,0.1647173489278752,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Catura-Hasta,content,1393,0.0453074433656957,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Sandamsa-Hasta,content,1366,0.0628183361629881,content;cta;footer,True
/dance,content,1365,0.0991501416430594,content;cta;footer,True
/odissi,content,1359,0.3219696969696969,content;cta;footer,True
/about-us,content,1343,0.1414055884843353,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Padmakosa-Hasta,content,1338,0.0601001669449081,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Bhramara-Hasta,content,1319,0.0706382978723404,content;cta;footer,True
/gita-govinda/epic/content-structure,content,1310,0.3153070577451879,content;cta;footer,True
/freeclass/bharatanatyam-anita-ratnam,content,1304,0.1123287671232876,content;video;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Tamracuda-Hasta,content,1293,0.0655884995507637,content;cta;footer,True
/gita-govinda/epic/gods-writings-prabandh19/1,content,1276,0.0704787234042553,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Mukula-Hasta,content,1262,0.066231343283582,content;cta;footer,True
/gita-govinda/epic/love-story-india,content,1258,0.0408921933085501,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Sarpasirsa-Hasta,content,1250,0.0619389587073608,content;cta;footer,True
/picture-gallery/kerala-folk-art-forms/adivasi-nritham/,,1179,0.2892347600518807,,False
/intermediate,content,1176,0.0244716351501668,content;cta;footer,True
/gita-govinda/pralaya-payodhi-jale-prabandh-1-pali-chandra-class-jaya-jagadeesha-hare,content,1170,0.1425818882466281,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Hamsapksa-Hasta,content,1149,0.0559371933267909,content;cta;footer,True
/bharatanatyam/rajashreewarrier/composition-padam-aduvum-solluvaal,content,1137,0.2222222222222222,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Kapittha-Hasta/,,1134,0.3206967213114754,,False
/gita-govinda/epic/jayadeva-poet,content,1133,0.0582226762002042,content;cta;footer,True
/dance-compositions,content,1126,0.0909090909090909,content;cta;footer,True
/mohiniyattam/neena-prasad,content,1092,0.1862857142857142,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Mayura-Hasta/,,1080,0.3245324532453245,,False
/bharatanatyam/rama-vaidhyanathan/composition-divine-cowherd-lord-krishna,content,1073,0.1811361200428724,content;cta;footer,True
/gita-govinda/epic/radha,content,1058,0.0334101382488479,content;cta;footer,True
/mohiniyattam/neena-prasad/composition-jatiswaram-saranga-raga,content,1034,0.1224018475750577,content;cta;footer,True
/gita-govinda/virachita-chaadu-vachana-prabhandh-20-pali-chandra-class-mugde-madhu-madhanam,content,1028,0.0908045977011494,content;cta;footer,True
/gita-govinda/all-24-prabandhs/class,content,1025,0.0471428571428571,content;cta;footer,True
/gita-govinda/epic/hinduism-bhakti-tradition,content,1024,0.0504694835680751,content;cta;footer,True
/bharatanatyam/rama-vaidhyanathan/composition-saddu-madalu-bedavo-rangayya,content,1011,0.1241379310344827,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Kapota-Hasta-Bharatanatyam,content,993,0.032051282051282,content;cta;footer,True
/music/classical-veena/maya-varma/utsava-sampradaya-kritis,,891,0.35785536159601,,False
/mohiniyattam/neena-prasad/master-class-ananda-bhairavi-swarajathi,content,879,0.2459222082810539,content;cta;footer,True
/gita-govinda/epic/jayadeva-scholarly-contemporaries,content,851,0.0107238605898123,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Karkata-Hasta-Bharatanatyam,content,850,0.0454545454545454,content;cta;footer,True
/my-page/pgm/ardhanareeswara-ashtakam-learn-online/Nzg=/html,,842,0.0778625954198473,,False
/picture-gallery/asamyuta-hasta-bharatanatyam/Arala-Hasta/,,837,0.2804154302670623,,False
/mohiniyattam/smitha-rajan/master-class-varnam-suma-sayaka,content,834,0.2596537949400799,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Anjali-Hasta-Bharatanatyam/,,821,0.3181102362204724,,False
/mohiniyattam/deepti-omchery-bhalla/composition-adikeshava-nritya-prabandham,content,812,0.1098591549295774,content;cta;footer,True
/gita-govinda/epic/global-classic,content,804,0.0070028011204481,content;cta;footer,True
/gita-govinda/all-24-prabandhs,content,800,0.0656814449917898,content;cta;footer,True
/my-page/pgm/lesson-videos-online/MTM1/html,,798,0.0768025078369906,,False
/bharatanatyam/rajashreewarrier/composition-bhogeendra-sayinam,content,796,0.1549295774647887,content;cta;footer,True
/odissi/sujata-mohapatra-kelucharan,content,794,0.1397849462365591,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Svastika-Hasta-Bharatanatyam,content,759,0.0427215189873417,content;cta;footer,True
/kuchipudi/sreelakshmy-govardhanan,content,756,0.1505016722408027,content;cta;footer,True
/mohiniyattam/neena-prasad/master-class-revati-raga-thillana,content,755,0.2442396313364055,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Katakavardhana-Hasta-Bharatanatyam,content,732,0.0424143556280587,content;cta;footer,True
/freeclass/kathakali-kalyanasougandhikam,content,731,0.3646322378716745,content;video;cta;footer,True
/music/classical-vocal/dr-leela-omchery/thiruvathirappattukal-thiruvathira-songs,,721,0.2944078947368421,,False
/bharatanatyam/rama-vaidhyanathan/composition-thiruvempavai,content,720,0.1221719457013574,content;cta;footer,True
/kuchipudi,content,718,0.2224199288256227,content;cta;footer,True
/picture-gallery/kerala-folk-art-forms/koramba-kali/,,711,0.3142329020332717,,False
/kathakali/kalamandalam-gopi,content,698,0.3513957307060755,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Utsanga-Hasta-Bharatanatyam,content,692,0.0261324041811846,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Bherunda-Hasta-Bharatanatyam,content,685,0.0791599353796446,content;cta;footer,True
/classical-dance-performances,content,682,0.024390243902439,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Dola-Hasta-Bharatanatyam,content,675,0.042158516020236,content;cta;footer,True
/freeclass/neelavarnam,content,674,0.1290322580645161,content;video;cta;footer,True
/mohiniyattam/smitha-rajan/composition-cholkettu,content,666,0.2684563758389262,content;cta;footer,True
/picture-gallery/asamyuta-hasta-bharatanatyam/Ardhacandra-Hasta/,,660,0.289134438305709,,False
/picture-gallery/kerala-folk-art-forms/mudiyattam/,,656,0.3001949317738791,,False
/picture-gallery/samyuta-hasta-bharatanatyam/Puspaputa-Hasta-Bharatanatyam,content,643,0.0633802816901408,content;cta;footer,True
/techniques,content,642,0.0475319926873857,content;cta;footer,True
/kathak/gurupalichandra/composition-thumri-dagar-chalat,content,637,0.1828153564899451,content;cta;footer,True
/mohiniyattam/smitha-rajan/composition-sree-chakra-raja-learn-keerthanam-online,content,633,0.2602739726027397,content;cta;footer,True
/kathak/gurupalichandra/master-class-payaliya-tarana-payaliya-jhankar-mori,content,628,0.2326388888888889,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Sakata-Hasta-Bharatanatyam,content,624,0.0282485875706214,content;cta;footer,True
/freeclass/gita-govinda-or-ashtapadi-dance-performance,content,623,0.2352941176470588,content;video;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Pasa-Hasta-Bharatanatyam,content,623,0.0431519699812382,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Katva-Hasta-Bharatanatyam,content,616,0.0421455938697318,content;cta;footer,True
/programmes,content,616,0.0437017994858611,content;cta;footer,True
/gita-govinda/epic/shringara,content,613,0.2947154471544715,content;cta;footer,True
/picture-gallery/samyuta-hasta-bharatanatyam/Sivalinga-Hasta-Bharatanatyam,content,610,0.0400763358778625,content;cta;footer,True
/freeclass/kathak-performances,content,604,0.1226765799256505,content;video;cta;footer,True
/bharatanatyam/rajashreewarrier/performance-panchatantra-and-jataka-stories,content,603,0.2549728752260398,content;cta;footer,True
/picture-gallery/kerala-folk-art-forms/poothanum-thirayum,content,584,0.3252032520325203,content;cta;footer,True
